grid_id,week_start,count,grid_lat,grid_lon,count_lag1,count_lag2,count_lag3,count_lag4,count_roll_mean4,neighbor_mean,target_count_t1,target_bin_t1
-11.42_-77.24,2022-03-29,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-04-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-04-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-04-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-04-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-05-03,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-05-10,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-05-17,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-05-24,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-05-31,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-06-07,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-06-14,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-06-21,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-06-28,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-07-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-07-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-07-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-07-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-08-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-08-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-08-16,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-08-23,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-08-30,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-09-06,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-09-13,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-09-20,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-09-27,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-10-04,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-10-11,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-10-18,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-10-25,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-11-01,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-11-08,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-11-15,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-11-22,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-11-29,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-12-06,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-12-13,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-12-20,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2022-12-27,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-01-03,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-01-10,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-01-17,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-01-24,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-01-31,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-02-07,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-02-14,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-02-21,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-02-28,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-03-07,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-03-14,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-03-21,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-03-28,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-04-04,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-04-11,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-04-18,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-04-25,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-05-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-05-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-05-16,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-05-23,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-05-30,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-06-06,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-06-13,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-06-20,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-06-27,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-07-04,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-07-11,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-07-18,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-07-25,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-08-01,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-08-08,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-08-15,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-08-22,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-08-29,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-09-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-09-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-09-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-09-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-03,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-10,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-17,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-24,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-10-31,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-07,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-14,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-21,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-11-28,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2023-12-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-16,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-23,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-01-30,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-06,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-13,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-20,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-02-27,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-05,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-12,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-19,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-03-26,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-04-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-04-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-04-16,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-04-23,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-04-30,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-05-07,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-05-14,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-05-21,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-05-28,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-06-04,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-06-11,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-06-18,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-06-25,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-07-02,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.42_-77.24,2024-07-09,0,-11.42,-77.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
