grid_id,week_start,count,grid_lat,grid_lon,count_lag1,count_lag2,count_lag3,count_lag4,count_roll_mean4,neighbor_mean,target_count_t1,target_bin_t1
-11.47_-77.35000000000001,2020-07-28,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-08-04,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-08-11,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-08-18,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-08-25,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-09-01,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-09-08,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-09-15,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-09-22,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-09-29,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-10-06,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-10-13,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-10-20,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-10-27,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-11-03,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-11-10,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-11-17,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-11-24,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-12-01,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-12-08,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-12-15,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-12-22,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2020-12-29,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-01-05,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-01-12,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-01-19,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-01-26,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-02-02,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-02-09,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-02-16,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-02-23,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-03-02,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-03-09,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-03-16,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-03-23,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-03-30,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-04-06,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-04-13,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-04-20,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-04-27,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-05-04,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-05-11,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-05-18,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-05-25,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-06-01,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-06-08,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-06-15,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-06-22,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-06-29,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-07-06,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-07-13,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-07-20,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-07-27,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-08-03,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-08-10,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-08-17,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-08-24,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-08-31,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-09-07,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-09-14,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-09-21,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-09-28,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-10-05,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-10-12,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-10-19,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-10-26,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-11-02,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-11-09,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-11-16,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-11-23,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-11-30,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-12-07,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-12-14,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-12-21,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2021-12-28,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-01-04,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-01-11,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-01-18,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-01-25,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-02-01,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-02-08,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-02-15,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-02-22,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-03-01,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-03-08,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-03-15,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-03-22,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-03-29,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-04-05,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-04-12,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-04-19,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-04-26,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-05-03,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-05-10,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-05-17,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-05-24,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-05-31,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-06-07,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-06-14,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-06-21,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-06-28,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-07-05,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-07-12,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-07-19,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-07-26,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-08-02,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-08-09,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-08-16,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-08-23,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-08-30,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-09-06,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-09-13,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-09-20,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-09-27,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-10-04,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-10-11,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-10-18,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-10-25,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-11-01,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-11-08,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-11-15,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-11-22,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-11-29,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-12-06,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-12-13,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-12-20,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2022-12-27,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-01-03,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-01-10,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-01-17,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-01-24,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-01-31,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-02-07,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-02-14,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-02-21,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-02-28,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-03-07,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-03-14,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-03-21,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-03-28,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-04-04,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-04-11,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-04-18,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-04-25,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-05-02,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-05-09,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-05-16,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-05-23,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-05-30,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-06-06,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-06-13,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-06-20,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-06-27,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-07-04,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-07-11,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-07-18,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-07-25,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-08-01,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-08-08,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-08-15,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-08-22,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-08-29,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-09-05,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-09-12,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-09-19,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-09-26,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-10-03,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-10-10,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-10-17,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-10-24,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-10-31,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-11-07,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-11-14,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-11-21,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-11-28,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-12-05,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-12-12,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-12-19,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2023-12-26,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-11.47_-77.35000000000001,2024-01-02,0,-11.47,-77.35000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
